X,Y,KKOD,TEXT,TEXTTYP
2057001.63707029,8491084.36436721,52,Stackbådan,O
2055955.07292925,8491144.79986277,52,Skäret,O
2053885.04290489,8491833.27926134,1,Tranvik,O
2053696.05885681,8492465.07824333,2,Södervik,O
2051750.7034812,8492486.70493131,1,Rosenlund,O
2055723.4591579,8492285.04654233,52,Björnören,O
2057863.65493018,8492652.70306508,52,Lägran,O
2055583.5222478,8493004.48332538,53,Benön,O
2054245.98305356,8493374.35811488,3,Öster-Mörtarö,O
2057156.32070709,8493026.68220806,52,Benöudden,O
2047395.85485493,8494428.93907875,1,Örskärsvik,O
2050518.08810691,8494091.98377628,1,Nybygget,O
2049245.89210776,8494299.95571425,1,Rosendal,O
2059092.62711616,8493860.92837718,52,Ådkubben,O
2055865.8467137,8494339.69267857,192,Söderbodfjärden,O
2057906.91468887,8494463.31648546,52,Fästmön,O
2055383.76976734,8494611.98094596,52,Killingörarna,O
2065979.72862332,8489938.63658163,52,Söderhällorna,O
2066350.5109463,8492283.54529554,52,Gjusbådan,O
2066834.78789013,8493518.65138956,52,Tistronklubben,O
2067280.11750546,8492663.63307418,52,Stor-Måshällen,O
2067110.07953986,8488316.65912175,51,Rönnbådan,O
2067420.75908521,8493076.86894492,51,Lill-Måshällen,O
2067930.29584655,8486267.83680366,52,Lill-Gåsbådan,O
2067887.57306291,8484865.75831058,52,Norrskäret,O
2068620.03579217,8487759.29739011,53,Gåsbådan,O
2068303.92814041,8494736.1113003,52,Svartbådorna,O
2069445.27332938,8491086.18012776,52,Vitbådorna,O
2069957.37755333,8492538.38982008,51,Lill-Oxbådan,O
2069407.10003297,8493565.45804525,52,Lagnabådorna,O
2070560.66640446,8492225.25304679,52,Stor-Oxbådan,O
2070452.5581324,8489398.21596744,52,Träskesbådan,O
2070737.95087905,8485306.7749068,52,Brymmeln,O
2071242.79671703,8494349.69551445,53,Söder-Gåsgrund,O
2072812.31975343,8495963.0006618,53,Norr-Gåsgrund,O
2073616.45454229,8494562.33943533,52,Lill-Ekbådan,O
2073812.04790528,8495316.46302999,52,Hamningbådan,O
2073328.63891414,8485267.18605114,51,Trimänningenshällorna,O
2073524.46690103,8487292.87469666,52,Åbrotten,O
2074062.57180841,8489271.85153374,52,Kullrorna,O
2060386.62904237,8485225.79887659,51,Vidgrunds-Halvfaru,O
2065587.56582068,8485690.49940236,52,Avlagrundet,O
2059866.50618919,8486704.17720486,51,Stengrynn-Halvfaru,O
2059850.40464761,8487268.1855981,51,Stengrynnan,O
2063093.63660597,8487337.03947527,51,Utterids-Halvfaru,O
2060596.5553843,8488087.81385735,196,Gällfjärden,O
2064804.18731053,8488057.64647022,52,Utteridet,O
2065714.24118569,8488611.96213664,52,Söder-Gället,O
2063387.24690688,8489217.20142169,52,Gräsören,O
2065091.1226498,8489222.87772924,52,Grillskär,O
2064365.13155381,8489799.90404849,52,Gränören,O
2063023.95063319,8492079.55548737,52,Lång-Slangran,O
2064482.1186628,8493035.61817434,53,Kullaskäret,O
2059547.10302425,8493322.45117362,52,Gällfjärdshällen,O
2060582.63553915,8493909.12892195,52,Fågelbådorna,O
2063394.63464399,8494206.27006106,51,Gällbådorna,O
2065891.82875398,8494516.11291675,51,Stenhällen,O
2060001.11604122,8494767.43177749,52,Lill-Blekbådan,O
2060710.00558357,8495081.88740899,51,Gällfjärdssten,O
2060924.96978776,8496929.29133444,52,Klykbådhällorna,O
2075465.56436385,8493144.66015106,52,Ålänningensslangran,O
2076518.67077473,8485543.74611105,52,Malorna,O
2076530.16801454,8488152.71132424,52,Norrkon,O
2077240.38931803,8483861.01218077,52,Härnsand,O
2077965.23967022,8489710.39569173,49,Gräsö östra skärgårds naturreservat,O
2077953.13682182,8488079.55498718,51,Lillkon,O
2079351.2953077,8492071.04469101,52,Ålänningensstenen,O
2079134.55905007,8486676.37802801,52,Kostenen,O
2079409.96161593,8487109.48018353,71,Kosten,O
2084265.42409963,8515720.44703422,52,Giffards grund,O
2084103.28212448,8497365.07911134,52,Yttergrund,O
2085324.67995085,8508889.80207589,52,Nygrund,O
2087296.7481769,8498584.58128542,198,Södra Kvarken,O
2088999.40057044,8518128.61589073,199,Bottenhavet,O
2090324.16126565,8522805.60552728,199,Bottenhavet,O
2089171.48184452,8483607.49562009,51,Nordvästklubben,O
2090540.53641319,8502393.34486759,52,Nöten,O
2093432.35652729,8484769.55356237,51,Lill-Utgrynnan,O
2092822.77861838,8484229.67508341,51,Stor-Utgrynnan,O
2094425.88654427,8483749.19759049,52,Stånghällarna,O
2094874.45276828,8495470.25753249,51,Klacken,O
2095418.77659312,8492391.83429267,52,Sydbrottet,O
2094899.77458954,8482718.28848413,52,Klykhällen,O
2096233.26832745,8483946.35329418,52,Ytterbådan,O
2098481.20183893,8511092.78096662,72,Grundkallen,O
2098179.31175347,8504818.82509737,52,Romediasgrund,O
2100713.51777266,8500442.00529669,56,Grundkallegrund,O
2046359.45025804,8485746.85332494,51,Klockarbobådan,O
2046179.9481708,8482096.14208561,72,Bellonagrundet,O
2047087.18025722,8486089.16920211,2,Skogsvreten,O
2047633.86464533,8482483.17481853,72,Djursten,O
2047811.50160669,8483410.24785859,192,Norrhöljan,O
2048882.14978312,8486899.02427213,1,Nässeläng,O
2048992.9407313,8487435.27734085,3,Klockarboda,O
2048972.15079113,8485390.43065528,2,Sisseläng,O
2049152.67842805,8484181.90907398,1,Hummelbäck,O
2050956.6163759,8484510.75523063,52,Stormossen,O
2052206.42824235,8483395.13251092,52,Lillmossen,O
2052035.936209,8481901.02773442,1,Stummelboda,O
2055492.8026172,8488174.77528629,2,Kallboda,O
2055974.96789419,8486530.23092921,2,Kalvik,O
2055778.23492231,8482449.9682612,1,Hansvik,O
2056362.86863673,8482036.82688201,1,Östervik,O
2056276.86752565,8483985.54462245,3,Svartbäck,O
2057574.10521537,8488011.06207538,51,Tullferören,O
2057729.67784335,8483483.8354847,1,Oxsten,O
2057907.35066143,8484032.53969825,52,Granskär,O
2056930.64560863,8487325.09001609,193,Kallbodfjärden,O
2057192.3437318,8485120.83674275,192,Verkfjärden,O
2058630.60345864,8482279.08990888,1,Djupdal,O
2059040.07130562,8484453.9723032,51,Talluddsbläckorna,O
2059439.88417678,8483292.44794848,53,Rönngrund,O
2059304.16953379,8478385.71138979,1,Larsla,O
2059256.90449507,8479125.62212396,1,Muskargrund,O
2059895.12272302,8477889.7949899,1,Malmen,O
2062959.87185584,8482162.04873638,52,Märrskäret,O
2062805.2880014,8478744.7345473,1,Varmskär,O
2063005.24865946,8483166.68394952,52,Moss-skäret,O
2063070.90196818,8481353.86551844,52,Högklyksberget,O
2064900.53872757,8481776.65667962,2,Rosten,O
2065814.68220023,8480331.25078329,2,Gjusbådan,O
2065808.38196765,8479752.50727055,52,Furuskäret,O
2066068.04336957,8482033.68251991,52,Långgrundet,O
2065492.62517931,8483228.42208994,52,Malskäret,O
2066181.1838207,8483365.97708613,52,Jakobsaskäret,O
2067020.43366556,8480671.56534076,52,Stor-Måssten,O
2067474.48860662,8482940.66203207,52,Siggerskäret,O
2067336.04619908,8479493.4452466,52,Björkbådan,O
2045420.1794845,8476888.02864574,51,Kolskärsören,O
2046094.91450234,8477483.94412928,51,Norrbådan,O
2046180.06769698,8477133.0926163,51,Söderbådan,O
2046655.08432055,8476126.5697378,51,Käringstensudden,O
2047011.6966338,8476684.3009167,51,Granören,O
2047900.10244861,8476951.65154183,51,Yttre Skarbådan,O
2048520.15662903,8476147.28922455,51,Högdunsen,O
2049664.62488783,8481616.50616488,2,Saltören,O
2049815.73329137,8480543.44706302,2,Mas-Ersudden,O
2050790.06481845,8480980.72350505,192,Långviken,O
